frame,yaw,pitch
1,-0.02543,0.03125
2,0.00747,0.04032
3,-0.02868,0.05512
4,-0.01022,0.06015
5,0.01954,0.03495
6,0.03725,0.05396
7,0.03725,0.05396
8,-0.06974,0.03557
9,-0.09481,0.01914
10,-0.09037,0.03886
11,-0.08768,0.04349
12,-0.08768,0.04349
13,-0.09573,0.02846
14,-0.09777,0.02655
15,-0.10314,0.03335
16,-0.11321,0.02201
17,-0.0916,0.01947
18,-0.0916,0.01947
19,-0.16024,0.01283
20,-0.14532,0.00184
21,-0.17622,0.00928
22,-0.18588,0.00159
23,-0.1577,0.00496
24,-0.1577,0.00496
25,-0.1543,0.01312
26,-0.13336,0.0396
27,-0.1457,0.01842
28,-0.15744,0.00546
29,-0.15744,0.00546
30,-0.15357,0.01527
31,-0.17728,0.00502
32,-0.136,0.01823
33,-0.17572,0.03351
34,-0.16001,0.01864
35,-0.16001,0.01864
36,-0.15989,0.02849
37,-0.17055,0.01652
38,-0.1527,0.0305
39,-0.11704,0.03654
40,-0.13438,0.01932
41,-0.13438,0.01932
42,-0.16051,0.02589
43,-0.16625,0.0347
44,-0.16784,0.00227
45,-0.15344,0.01745
46,-0.13459,0.02165
47,-0.13459,0.02165
48,-0.15158,0.02523
49,-0.17221,-0.00069
50,-0.13796,0.01217
51,-0.16395,0.01725
52,-0.16395,0.01725
53,-0.15153,0.00227
54,-0.17495,0.02537
55,-0.15387,0.02848
56,-0.17891,0.02079
57,-0.17891,0.02079
58,-0.18338,0.0134
59,-0.18227,0.02318
60,-0.33927,0.02314
61,-0.34997,0.03835
62,-0.34623,0.0262
63,-0.34623,0.0262
64,-0.3536,0.03764
65,-0.38015,0.05749
66,-0.35741,0.04794
67,-0.3594,0.04792
68,-0.3594,0.04792
69,-0.36421,0.05744
70,-0.2893,0.01405
71,-0.19129,0.01323
72,-0.21473,0.01691
73,-0.19217,-0.00115
74,-0.19217,-0.00115
75,-0.18448,0.00754
76,-0.17235,0.01133
77,-0.16653,0.01722
78,-0.16426,0.00896
79,-0.199,0.01009
80,-0.199,0.01009
81,-0.1592,0.01228
82,-0.17417,0.02481
83,-0.15951,0.01307
84,-0.18029,0.01713
85,-0.15879,0.01716
86,-0.15879,0.01716
87,-0.16755,0.02022
88,-0.17566,0.0284
89,-0.17263,0.02015
90,-0.17338,0.01882
91,-0.15153,-0.007
92,-0.15153,-0.007
93,-0.12774,-0.01065
94,-0.15619,0.01702
95,-0.14004,0.00329
96,-0.14747,0.01265
97,-0.15504,0.00988
98,-0.15504,0.00988
99,-0.14854,0.0114
100,-0.1628,0.00162
101,-0.1391,0.01911
102,-0.1674,0.01225
103,-0.1674,0.01225
104,-0.14855,0.01725
105,-0.17557,0.01366
106,-0.16761,0.01549
107,-0.16417,0.0242
108,-0.12987,0.02066
109,-0.12987,0.02066
110,-0.1008,-0.06623
111,-0.04033,-0.20192
112,-0.05315,-0.19712
113,-0.00331,-0.23718
114,-0.00331,-0.23718
115,-0.02358,-0.23037
116,-0.02183,-0.23577
117,-0.01772,-0.23535
118,-0.02324,-0.22936
119,-0.02324,-0.22936
120,-0.03567,-0.23961
121,0.01621,-0.2461
122,-0.03396,-0.24249
123,0.00569,-0.24483
124,-0.04338,-0.26762
125,-0.04338,-0.26762
126,-0.03952,-0.22792
127,-0.033,-0.24225
128,-0.06703,-0.25106
129,-0.02843,-0.2559
130,-0.02843,-0.2559
131,-0.02471,-0.25617
132,-0.01737,-0.24838
133,-0.02909,-0.22299
134,-0.00583,-0.23879
135,-0.01716,-0.21533
136,-0.01716,-0.21533
137,-0.01307,-0.24409
138,-0.03572,-0.22987
139,-0.02993,-0.22734
140,-0.0056,-0.23013
141,-0.00053,-0.23813
142,-0.00053,-0.23813
143,-0.01508,-0.23648
144,0.00753,-0.22693
145,-0.0309,-0.22434
146,-0.03068,-0.23842
147,-0.03068,-0.23842
148,-0.00802,-0.23022
149,-0.04943,-0.23702
150,-0.04863,-0.23467
151,-0.02574,-0.23361
152,-0.03956,-0.222
153,-0.03956,-0.222
154,-0.00955,-0.22462
155,-0.02525,-0.24008
156,-0.0176,-0.23931
157,-0.04341,-0.25057
158,-0.03384,-0.2427
159,-0.03384,-0.2427
160,-0.02048,-0.22954
161,-0.02958,-0.21698
162,-0.02784,-0.2303
163,-0.05847,-0.20696
164,-0.01829,-0.22651
165,-0.01829,-0.22651
166,-0.01281,-0.21262
167,-0.02226,-0.20148
168,-0.02478,-0.21859
169,-0.01244,-0.21301
170,-0.01244,-0.21301
171,-0.03435,-0.23845
172,0.00145,-0.23792
173,-0.02859,-0.19954
174,-0.00637,-0.22308
175,-0.02339,-0.22468
176,-0.02339,-0.22468
177,-0.03587,-0.20346
178,-0.01326,-0.22145
179,-0.00066,-0.23942
180,-0.00951,-0.21558
181,-0.00951,-0.21558
182,-0.02277,-0.23846
183,-0.01119,-0.20531
184,-0.0278,-0.23102
185,-0.0033,-0.20847
186,0.02371,-0.21532
187,0.02371,-0.21532
188,-0.00162,-0.23513
189,-0.0188,-0.22216
190,-0.0027,-0.22513
191,-0.04751,-0.22596
192,-0.04751,-0.22596
193,-0.00847,-0.22467
194,-0.04142,-0.24252
195,0.02504,-0.18972
196,0.01377,-0.21089
197,0.01377,-0.21089
198,-0.00282,-0.23827
